mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
4.705526903860245,2857694,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,11.0,30.0,33.0,39.0,76,0.3,42,0,1678461
2.7722967761487185,2633217,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,6.0,16.0,19.0,23.0,51,0.3,42,1,920158
1.884171929990925,2404374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,9.0,11.0,14.0,40,0.3,42,2,511534
1.4134985972001455,1670944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,8.0,23,0.3,42,3,307447
1.1499416866827614,1628273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,12,0.3,42,4,204028
1.0538078827126927,1132808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6,0.3,42,5,151417
1.0096151903243404,1336219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,0.3,42,6,125755
1.0000096400873393,1037335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.3,42,7,116522
1.0,916135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.3,42,8,106787
1.0,1165230,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.3,42,9,105037
1.0,751368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.3,42,10,103191
1.0,817398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.3,42,11,104325
